date,sales_total_try,opex_try,usdtry,is_holiday_peak,promo_intensity,price_change_flag,stockout_flag,avg_price_try,units_sold
2018-01-11,,,3.95,0,0.08499761402267121,0,0,50000.0,
2018-01-15,,,3.95,0,0.06594826039719869,0,0,50000.0,
2018-01-16,,,3.95,0,0.08952684557535501,0,0,50000.0,
2018-01-17,,,3.95,0,0.11578708512457499,0,0,50000.0,
2018-01-18,,,3.95,0,0.06307158819063415,0,0,50000.0,
2018-01-19,,,3.95,0,0.06307208072385881,0,0,50000.0,
2018-01-22,,,3.95,0,0.11747257389755597,0,0,50000.0,
2018-01-27,,,3.95,0,0.09311923130692148,0,0,50000.0,
2018-01-31,,,3.95,0,0.056011957854285664,0,0,50000.0,
2018-02-01,,,3.95,0,0.14127680130757897,0,0,50000.0,
2018-02-02,,,3.95,0,0.11109746921562616,0,0,50000.0,
2018-02-03,,,3.95,0,0.11102810739289232,0,0,50000.0,
2018-02-05,,,3.95,0,0.13225886814698104,0,0,50000.0,
2018-02-06,,,3.95,0,0.0676015926602661,0,0,50000.0,
2018-02-07,,,3.95,0,0.07325246502460905,0,0,50000.0,
2018-02-11,,,3.95,0,0.10813137412277085,0,0,50000.0,
2018-02-13,,,3.95,0,0.09461506638996732,0,0,50000.0,
2018-02-14,,,3.95,0,0.13442741997785823,0,0,50000.0,
2018-02-15,,,3.95,0,0.0977592777343637,0,0,50000.0,
2018-02-16,,,3.95,0,0.08263088895994128,0,0,50000.0,
2018-02-17,1603449.0106544902,489014.2830456337,3.95,0,0.16896946306764665,0,0,50000.0,32.0689802130898
2018-02-18,1603449.0106544902,490172.98533763585,3.95,0,0.11822671098540397,0,0,50000.0,32.0689802130898
2018-02-23,1603449.0106544902,491331.68762963807,3.95,0,0.12702584614063775,0,0,50000.0,32.0689802130898
2018-02-25,1603449.0106544902,492876.62401897425,3.95,0,0.08225755441359633,0,0,50000.0,32.0689802130898
2018-02-27,1603449.0106544902,493649.09221364243,3.95,0,0.10866851826424455,0,0,50000.0,32.0689802130898
2018-03-01,1603449.0106544902,498110.52698661335,3.95,0,0.203327677691296,0,0,50064.53214197071,32.02764396374469
2018-03-06,1603449.0106544902,498110.52698661335,3.988235294117647,0,0.16547019267733093,0,0,50206.50285430628,31.937078256725467
2018-03-12,1603449.0106544902,498110.52698661335,4.034117647058824,0,0.21127094055037016,0,0,50361.37999503599,31.838861659718987
2018-03-13,1603449.0106544902,494231.5240857928,4.041764705882353,0,0.18198083930243586,0,0,50477.53785058326,31.76559473643112
2018-03-15,1603449.0106544902,490316.5635118662,4.057058823529411,0,0.1912491875062017,0,0,50529.16356415985,31.733139786066253
2018-03-16,1603449.0106544902,486401.6029379396,4.064705882352941,0,0.1819488016331181,0,0,50593.69570613056,31.692664239592137
2018-03-18,1603449.0106544902,486365.64526483364,4.08,0,0.25556834553526814,0,0,50671.13427649541,31.64422966940124
2018-03-21,1604590.5766911234,486747.89368144836,4.102941176470589,0,0.199595083257862,0,0,50800.19856043684,31.58630521457799
2018-03-26,1605960.4559350826,487665.8357840849,4.141176470588236,0,0.16826867213132302,0,0,50916.35641598411,31.541150407827008
2018-03-27,1610123.4111727634,489901.24214081286,4.148823529411764,0,0.2246763473630957,0,0,51161.57855547281,31.47133956054463
2018-04-09,1613359.6523733279,493436.2926847401,4.248235294117646,0,0.23837469050086935,0,0,51355.174981384946,31.415717168876032
2018-04-10,1616760.067559901,494947.3438386737,4.255882352941176,0,0.28126590785014266,0,0,51548.77140729709,31.363697396113636
2018-04-11,1617956.1375427572,495314.4459488914,4.263529411764706,0,0.21620989628360676,0,0,51600.397120873655,31.355497783334954
2018-04-13,1619820.4517111015,495886.12337256374,4.278823529411765,0,0.2351544185330471,0,0,51677.83569123852,31.34458767563531
2018-04-16,1621586.6440811118,496446.8923089568,4.301764705882353,0,0.28090583707607375,0,0,51755.27426160337,31.33181433615062
2018-04-17,1623352.8364511218,497006.7589708465,4.3094117647058825,0,0.2971539973998623,0,0,51832.71283196823,31.31907916364945
2018-04-19,1624824.6634261303,497475.5938691931,4.324705882352942,0,0.28014104843569915,0,0,51897.24497393895,31.30849555197126
2018-04-21,1626590.8557961406,498016.35227712215,4.34,0,0.2715305515283528,0,0,51974.68354430379,31.295829909375335
2018-04-23,1628095.3900372607,498476.998328321,4.355294117647059,0,0.26596688913232136,0,0,52039.21568627452,31.28593251390365
2018-04-24,1629665.3388106034,498971.0132826919,4.3629411764705885,0,0.2306443402889772,0,0,52103.74782824522,31.27731510183551
2018-04-26,1631039.043987278,499418.31851990096,4.378235294117647,0,0.2534046737481588,0,0,52168.27997021593,31.264957267490427
2018-04-28,1633227.457428907,500063.5374157129,4.393529411764706,0,0.2611808368712064,0,0,52271.53139736908,31.245066172121184
2018-05-02,1635047.1707798268,498895.18758340925,4.424117647058823,0,0.3616174773542333,0,0,52361.87639612807,31.225908682308628
2018-05-03,1636759.8421689274,498880.02818011295,4.431764705882353,0,0.34021235925471965,0,0,52439.314966492915,31.21245659320237
2018-05-04,1638187.0683265117,498810.9956498688,4.439411764705882,0,0.2770126059067838,0,0,52503.84710846364,31.201276831054066
2018-05-07,1639899.7397156125,498897.0088708873,4.46235294117647,0,0.3396263296495097,0,0,52581.28567882849,31.187897339222104
2018-05-09,1641915.6966632002,499510.3115422679,4.477647058823529,0,0.31835134215517635,0,0,52658.72424919335,31.1803166535762
2018-05-10,1643336.976045128,499960.1853592066,4.485294117647059,0,0.30959615055848705,0,0,52710.34996276992,31.176741896152095
2018-05-11,1645495.6556084736,500601.978239877,4.492941176470588,0,0.34825409923289186,0,0,52800.69496152891,31.16428025819352
2018-05-16,1647588.9206395969,501238.8031454846,4.531176470588235,0,0.36083379624254436,0,0,52891.03996028791,31.15062441344797
2018-05-17,1649943.8437996106,501963.4421896249,4.538823529411765,0,0.3578422141411518,0,0,52981.3849590469,31.141953821610553
2018-05-18,1651513.7925729528,502464.2946249891,4.5464705882352945,0,0.30472728487098666,0,0,53020.10424422933,31.148822057487795
2018-05-19,1653051.0340801838,502905.83875978895,4.554117647058824,0,0.3206274392921294,0,0,53071.72995780591,31.147487285498773
2018-05-21,1654800.8728171384,503403.773905875,4.569411764705883,0,0.33984171350977277,0,0,53149.16852817077,31.135028423634527
2018-05-24,1656272.6997921474,503817.0686276743,4.592352941176471,0,0.3591701643813366,0,0,53226.60709853561,31.117382641466833
2018-05-25,1658235.1357588253,504417.9175826627,4.6000000000000005,0,0.3155285834323071,0,0,53329.85852568876,31.09393464751197
2018-05-29,1660332.9798072043,505059.9658223262,4.630588235294118,0,0.3243340412677513,0,0,53433.10995284189,31.07311143357655
2018-06-01,1663056.8409289534,501361.31947988423,4.653529411764707,0,0.3168099507798191,0,0,53562.17423678332,31.049091352734234
2018-06-04,1666251.6866827055,502324.4688102109,4.676470588235294,0,0.3141138012775799,0,0,53704.14494911889,31.02650062227726
2018-06-09,1670027.4134825945,501912.02622242854,4.714705882352941,0,0.3743757746718259,0,0,53871.928518242734,30.999955995951964
2018-06-14,1673512.6997594151,501405.5520543306,4.752941176470588,0,0.39068720085712466,0,0,54026.805658972444,30.975599600001306
2018-06-16,1676707.545513167,500805.8553747029,4.768235294117647,0,0.34783969635259,0,0,54168.77637130801,30.953395255228276
2018-06-20,1679321.5102207821,501586.6050258985,4.798823529411765,0,0.3801059869367607,0,0,54284.934226855294,30.935314450284537
2018-06-23,1682595.9895671522,501404.14047958486,4.821764705882353,0,0.360849080751429,0,0,54452.71779597915,30.900128729504793
2018-06-29,1685461.7141554775,500400.030626245,4.86764705882353,0,0.33064640736184625,0,0,54594.68850831472,30.872265420083554
2018-07-01,1687832.620841712,493079.743576582,4.882941176470588,0,0.3407456787329182,0,0,54710.84636386201,30.850055025954983
2018-07-02,1689338.6355101701,492368.94212459226,4.890588235294118,0,0.3760449075616449,0,0,54762.47207743857,30.84847289438118
